구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999999,0.9999999999999999,0.18181818181818188,0.9700534759358289,0.638175928233242,80.03875968992247,100.0,100.0,53.4708670197937,88.13093453273363,570500.0,2780,0.7580095171974506,94.53260196705558
강동구,0.13592233009708732,0.3055555555555555,0.09090909090909094,0.3165775401069518,0.27136805382506857,95.0,92.85714285714286,100.0,51.425313568985175,86.99604743083003,453233.0,773,0.22406651409875084,95.57243737053625
강북구,0.27427184466019416,0.055555555555555566,0.36363636363636365,0.12691622103386807,0.33316720657861953,73.27188940092167,80.0,85.71428571428571,54.99181669394435,89.34485241180705,330192.0,748,0.23070943829292018,85.94169818681891
관악구,0.529126213592233,0.25,0.2727272727272727,0.44099821746880574,0.44704709693496136,81.98757763975155,83.33333333333334,100.0,44.55539705183072,83.67851622874807,525515.0,1496,0.3879797601446546,88.23572723591309
광진구,0.424757281553398,0.2222222222222222,0.09090909090909094,0.6310160427807486,0.23697981559930226,83.87096774193549,54.54545454545454,100.0,40.098634294385434,84.07190635451505,372164.0,707,0.32117689061295235,81.29267484299382
구로구,0.4101941747572815,0.19444444444444448,0.5454545454545455,0.37219251336898396,0.4293545975579367,66.30036630036629,100.0,100.0,45.07853403141361,84.70290771175726,447874.0,1561,0.3903280551166384,88.80228172507655
금천구,0.17233009708737862,0.11111111111111109,0.2727272727272727,0.14188948306595367,0.18739097931721904,81.71428571428572,100.0,100.0,51.74050632911392,88.73689010487917,255082.0,1015,0.17708978866178704,94.65616430430545
노원구,0.1334951456310679,0.08333333333333333,0.18181818181818188,0.3532976827094474,0.2678793919760778,89.30817610062893,100.0,100.0,39.84921917070544,84.41971383147853,569384.0,1265,0.20396474709362167,92.72476092503025
도봉구,0.04611650485436891,0.055555555555555566,0.0,0.0,0.0,98.3739837398374,100.0,100.0,56.812933025404156,90.83969465648855,348646.0,485,0.020334412081984894,100.0
동대문구,0.20873786407766987,0.19444444444444448,0.18181818181818188,0.3828877005347594,0.29927734861699473,83.15789473684211,100.0,100.0,55.206185567010316,89.96971990915974,369496.0,1294,0.2534331078984101,96.03323865535258
동작구,0.5364077669902912,0.11111111111111109,0.4545454545454546,0.12834224598930483,0.05482182905556943,45.84615384615385,100.0,75.0,45.18760195758564,86.93558097531607,412520.0,1091,0.2570456815383462,79.13638508113894
마포구,0.7160194174757281,0.027777777777777776,0.09090909090909094,0.592156862745098,0.37328681784201345,80.20050125313283,100.0,100.0,37.198258804907006,85.06294658046954,389649.0,574,0.3600299933499417,90.23266691546597
서대문구,0.17233009708737862,0.055555555555555566,0.2727272727272727,0.22709447415329764,0.133316720657862,84.0,80.0,100.0,50.033266799733866,83.19838056680162,327163.0,962,0.17220482403627332,89.06007785058868
서초구,0.7864077669902912,0.2777777777777778,0.18181818181818188,0.4773618538324421,0.22352354846748068,63.3177570093458,76.92307692307693,100.0,50.204081632653065,86.7835757057314,450310.0,1930,0.38937782577723473,84.57533286374421
성동구,0.0,0.0,0.09090909090909094,0.15329768270944744,0.04435584350859706,75.0,100.0,100.0,69.1358024691358,86.96726374305128,311244.0,1062,0.057712523425427084,96.65411326871876
성북구,0.12135922330097082,0.1388888888888889,0.09090909090909094,0.21532976827094474,0.1662098180912036,75.97402597402598,100.0,75.0,49.31972789115646,86.29032258064517,461260.0,1464,0.1465393578922198,86.67287254757588
송파구,0.31553398058252424,0.3333333333333333,0.5454545454545455,0.597860962566845,0.46050336406678294,78.63247863247864,80.0,88.88888888888889,41.211167911915055,85.37549407114624,667483.0,618,0.4505372372008062,83.87571950291094
양천구,0.733009708737864,0.3888888888888889,1.0,0.9999999999999999,1.0,85.4679802955665,100.0,100.0,49.71397439389812,85.91859185918592,479978.0,2034,0.8243797195253506,94.4115296633027
영등포구,0.6116504854368932,0.4444444444444445,0.9090909090909092,0.5258467023172906,0.5362571642162971,63.20224719101124,73.68421052631578,100.0,40.153780435711234,83.69050932368495,402985.0,904,0.6054579411011669,80.87650786729463
용산구,0.3567961165048543,0.16666666666666669,0.09090909090909094,0.2221033868092691,0.23498629454273612,85.2589641434263,100.0,100.0,40.22834116856951,84.22818791946308,244203.0,1624,0.21429231108652344,91.8589794284857
은평구,0.12621359223300965,0.16666666666666669,0.2727272727272727,0.285204991087344,0.30475953152255175,91.02564102564102,77.77777777777779,100.0,53.421368547418965,86.63663663663664,494388.0,1873,0.23111441084736897,91.66749550754608
종로구,0.3252427184466019,0.25,0.2727272727272727,0.3828877005347594,0.204834288562173,74.36974789915966,75.0,33.33333333333333,39.58762886597938,87.36190897039329,162820.0,1002,0.2871383960541614,69.42469600229319
중구,0.2281553398058252,0.1388888888888889,0.0,0.4577540106951872,0.1953650635434837,74.74747474747475,87.5,100.0,42.51162790697675,89.70786516853933,133240.0,671,0.204032660586677,88.44023152914788
중랑구,0.14563106796116504,0.3055555555555555,0.4545454545454546,0.2941176470588235,0.4293545975579367,91.46341463414635,100.0,87.5,62.211709047900655,85.71428571428571,414503.0,660,0.3258408645357871,95.70940353437733
