,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,구별
0,중부서,2,2,3,3,141,96,1204,485,1335,1164,중구
1,종로서,4,0,6,3,137,113,952,389,1291,1135,종로구
2,남대문서,1,1,5,4,57,52,946,429,890,832,중구
3,서대문서,6,7,5,4,175,147,1503,752,1976,1644,서대문구
4,혜화서,2,2,6,6,101,64,988,379,972,842,종로구
5,용산서,4,4,9,10,251,214,1489,599,2384,2008,용산구
6,성북서,2,2,3,3,103,75,790,381,1176,1004,성북구
7,동대문서,5,5,10,12,190,158,1940,1071,2642,2377,동대문구
8,마포서,4,4,4,7,399,320,2527,940,2939,2500,마포구
9,영등포서,13,13,19,14,356,225,2341,940,3593,3007,영등포구
10,성동서,4,5,3,5,104,78,1296,896,1619,1408,성동구
11,동작서,8,6,7,7,325,149,1226,554,1661,1444,동작구
12,광진서,4,4,11,6,279,234,2636,1057,2392,2011,광진구
13,서부서,4,4,4,2,54,49,781,389,1128,980,은평구
14,강북서,7,6,5,4,217,159,1222,672,2778,2482,강북구
15,금천서,6,6,7,7,175,143,1264,654,2193,1946,금천구
16,중랑서,8,7,14,14,164,150,1691,1052,3164,2712,중랑구
17,강남서,3,3,24,26,339,269,2438,1129,2336,2096,강남구
18,관악서,6,7,12,10,322,264,2103,937,3235,2707,관악구
19,강서서,9,10,10,10,275,239,1952,1070,3204,2768,양천구
20,강동서,4,5,14,13,160,152,1754,902,2530,2201,강동구
21,종암서,2,1,5,5,51,42,680,344,932,815,성북구
22,구로서,9,9,10,13,273,181,1910,861,3164,2680,구로구
23,서초서,4,4,9,5,350,220,1733,814,1838,1583,서초구
24,양천서,5,5,7,7,131,108,1719,755,2250,1918,양천구
25,송파서,9,8,15,12,234,184,2543,1048,3289,2808,송파구
26,노원서,5,6,6,9,159,142,1857,740,2516,2124,노원구
27,방배서,1,1,4,5,78,51,472,293,500,446,서초구
28,은평서,2,2,5,5,102,93,885,501,1536,1328,은평구
29,도봉서,3,3,5,5,123,121,866,492,1441,1309,도봉구
30,수서서,2,2,15,16,177,144,1149,789,1666,1431,강남구
